,OBJECTID,Field1,YM,SIDO,SIGUNGU,X,Y,FranClass,Type,Time,TotalSpent,DisSpent,NumofSpent,NumofDisSpent,POINT_X,POINT_Y,DONG
10001,10002,10002,202007,제주특별자치도,제주시,260150,102300,일반,주차장,02시,17800,0,3,0,126.49262061848708,33.507566302706415,용담이동
10002,10003,10003,202007,제주특별자치도,제주시,260150,99050,중소1,골프경기장,02시,80000,0,1,0,126.49312769960318,33.47827147373316,연동
10003,10004,10004,202007,제주특별자치도,제주시,260150,99650,중소1,일반한식,02시,365500,0,19,0,126.49303414034725,33.48367976102923,연동
10004,10005,10005,202007,제주특별자치도,제주시,260150,99700,일반,편의점,02시,161500,0,12,0,126.49302634263955,33.484130451036954,연동
10005,10006,10006,202007,제주특별자치도,제주시,260150,99800,일반,슈퍼마켓,02시,5792730,73540,248,4,126.49301074678532,33.48503183185129,연동
10006,10007,10007,202007,제주특별자치도,제주시,260150,99900,영세,유흥주점,02시,570000,0,3,0,126.49299514928369,33.485933212519626,연동
10007,10008,10008,202007,제주특별자치도,제주시,260150,99900,중소,서양음식,02시,138600,0,17,0,126.49299514928369,33.485933212519626,연동
10008,10009,10009,202007,제주특별자치도,제주시,260150,99950,영세,일반한식,02시,75000,0,1,0,126.492987350862,33.486383902355776,연동
10009,10010,10010,202007,제주특별자치도,제주시,260150,99950,중소,일반한식,02시,323000,0,5,0,126.492987350862,33.486383902355776,연동
10010,10011,10011,202007,제주특별자치도,제주시,260150,99950,중소1,일반한식,02시,1345000,0,21,0,126.492987350862,33.486383902355776,연동
10011,10012,10012,202007,제주특별자치도,제주시,260200,100300,영세,유흥주점,02시,1500000,0,7,0,126.49347063832175,33.48954526693238,연동
10012,10013,10013,202007,제주특별자치도,제주시,260200,100400,영세,안마스포츠마사지,02시,80000,0,1,0,126.49345504353278,33.49044664708497,연동
10013,10014,10014,202007,제주특별자치도,제주시,260200,100450,중소,일반한식,02시,44000,0,1,0,126.49344724645707,33.4908973375651,연동
10014,10015,10015,202007,제주특별자치도,제주시,260200,100700,중소,편의점,02시,85500,0,12,0,126.49340825573904,33.49315078671913,연동
10015,10016,10016,202007,제주특별자치도,제주시,260200,99800,영세,기타숙박업,02시,60000,0,2,0,126.49354860153782,33.485038364994594,연동
10016,10017,10017,202007,제주특별자치도,제주시,260200,99900,영세,단란주점,02시,250000,0,2,0,126.4935330106803,33.48593974584229,연동
10017,10018,10018,202007,제주특별자치도,제주시,260200,99900,영세,서양음식,02시,250000,0,1,0,126.4935330106803,33.48593974584229,연동
10018,10019,10019,202007,제주특별자치도,제주시,260200,99900,영세,화물운송,02시,60500,0,1,0,126.4935330106803,33.48593974584229,연동
10019,10020,10020,202007,제주특별자치도,제주시,260250,100200,영세,기타숙박업,02시,60000,0,1,0,126.49402411077368,33.48865041904539,연동
10020,10021,10021,202007,제주특별자치도,제주시,260250,100300,영세,단란주점,02시,810000,0,6,0,126.49400852212469,33.48955179950586,연동
10021,10022,10022,202007,제주특별자치도,제주시,260250,100300,일반,일반한식,02시,50000,0,1,0,126.49400852212469,33.48955179950586,연동
10022,10023,10023,202007,제주특별자치도,제주시,260250,100300,일반,편의점,02시,97590,0,15,0,126.49400852212469,33.48955179950586,연동
10023,10024,10024,202007,제주특별자치도,제주시,260250,100450,영세,칵테일바,02시,17000,0,1,0,126.4939851375479,33.490903869483894,연동
