,OBJECTID,Field1,YM,SIDO,SIGUNGU,X,Y,FranClass,Type,Time,TotalSpent,DisSpent,NumofSpent,NumofDisSpent,POINT_X,POINT_Y,DONG
20001,20002,20002,202007,제주특별자치도,제주시,238400,92050,영세,슈퍼마켓,07시,45000,0,1,0,126.26045497108687,33.412119330367204,한림읍
20002,20003,20003,202007,제주특별자치도,제주시,238400,92200,영세,기타숙박업,07시,70000,0,1,0,126.26042803743965,33.4134712612335,한림읍
20003,20004,20004,202007,제주특별자치도,제주시,238400,92200,영세,일반한식,07시,523000,0,12,0,126.26042803743965,33.4134712612335,한림읍
20004,20005,20005,202007,제주특별자치도,서귀포시,238450,59600,영세,편의점,07시,18200,0,3,0,126.26677510290183,33.119651674006036,대정읍
20005,20006,20006,202007,제주특별자치도,제주시,238450,91350,중소1,기타건축자재,07시,911000,0,4,0,126.2611179423692,33.405817842285195,한림읍
20006,20007,20007,202007,제주특별자치도,제주시,238450,91350,중소2,농기계,07시,1137580,0,21,0,126.2611179423692,33.405817842285195,한림읍
20007,20008,20008,202007,제주특별자치도,제주시,238450,92250,영세,일반한식,07시,16000,0,1,0,126.26095641339063,33.41392943342889,한림읍
20008,20009,20009,202007,제주특별자치도,제주시,238450,92350,영세,기타숙박업,07시,50000,0,1,0,126.26093846127127,33.41483072062696,한림읍
20009,20010,20010,202007,제주특별자치도,제주시,238500,92250,영세,일반한식,07시,228000,0,6,0,126.26149376810241,33.41393695884759,한림읍
20010,20011,20011,202007,제주특별자치도,제주시,238500,92300,중소1,건축요업품,07시,285000,0,2,0,126.26148479490013,33.414387602566315,한림읍
20011,20012,20012,202007,제주특별자치도,제주시,238500,92350,영세,일반한식,07시,269000,0,10,0,126.26147582152886,33.41483824625025,한림읍
20012,20013,20013,202007,제주특별자치도,제주시,238500,92400,영세,일반한식,07시,63000,0,2,0,126.26146684798863,33.415288889899365,한림읍
20013,20014,20014,202007,제주특별자치도,제주시,238500,92400,중소1,일반한식,07시,200000,0,9,0,126.26146684798863,33.415288889899365,한림읍
20014,20015,20015,202007,제주특별자치도,제주시,238500,92400,중소1,편의점,07시,753070,50500,73,2,126.26146684798863,33.415288889899365,한림읍
20015,20016,20016,202007,제주특별자치도,제주시,238500,92450,영세,기타음료식품,07시,533800,0,2,0,126.26145787427944,33.41573953351368,한림읍
