,OBJECTID,Field1,YM,SIDO,SIGUNGU,FranClass,Type,Time,TotalSpent,DisSpent,NumofSpent,NumofDisSpent,POINT_X,POINT_Y,DONG
281759,281760,281760,202006,제주특별자치도,서귀포시,중소2,일반한식,x시,180000,0,2,0,126.92007632160933,33.44936161904359,성산읍
281760,281761,281761,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,52000,0,1,0,126.92077012674018,33.43674474735624,성산읍
281761,281762,281762,202006,제주특별자치도,서귀포시,영세,스넥,x시,55500,0,3,0,126.92075898124037,33.43764628701123,성산읍
281762,281763,281763,202006,제주특별자치도,서귀포시,영세,제과점,x시,54500,0,3,0,126.92075898124037,33.43764628701123,성산읍
281763,281764,281764,202006,제주특별자치도,서귀포시,영세,서양음식,x시,39500,0,2,0,126.92037416277462,33.46874933258404,성산읍
281764,281765,281765,202006,제주특별자치도,서귀포시,영세,중국음식,x시,316000,0,8,0,126.92131334435295,33.436298648437074,성산읍
281765,281766,281766,202006,제주특별자치도,서귀포시,중소,편의점,x시,42250,0,6,0,126.92131334435295,33.436298648437074,성산읍
281766,281767,281767,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,67000,0,1,0,126.92129106554582,33.43810172796693,성산읍
281767,281768,281768,202006,제주특별자치도,서귀포시,영세,서양음식,x시,100000,0,7,0,126.92114619914078,33.449821736264774,성산읍
281768,281769,281769,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,161000,0,2,0,126.92114619914078,33.449821736264774,성산읍
281769,281770,281770,202006,제주특별자치도,서귀포시,영세,중국음식,x시,129000,0,6,0,126.9209175877039,33.46830324168041,성산읍
281770,281771,281771,202006,제주특별자치도,서귀포시,영세,농축수산품,x시,35000,0,1,0,126.92185098945502,33.4363033161635,성산읍
281771,281772,281772,202006,제주특별자치도,서귀포시,영세,일반한식,x시,58000,0,1,0,126.92185098945502,33.4363033161635,성산읍
281772,281773,281773,202006,제주특별자치도,서귀포시,중소1,편의점,x시,433830,0,48,0,126.92144985443042,33.46875868352078,성산읍
281773,281774,281774,202006,제주특별자치도,서귀포시,영세,서양음식,x시,10000,0,1,0,126.92238307144139,33.43675875340734,성산읍
281774,281775,281775,202006,제주특별자치도,서귀포시,영세,일반한식,x시,14000,0,1,0,126.92238307144139,33.43675875340734,성산읍
281775,281776,281776,202006,제주특별자치도,서귀포시,영세,서양음식,x시,71000,0,2,0,126.92252554538354,33.468768025120035,성산읍
281776,281777,281777,202006,제주특별자치도,서귀포시,영세,스포츠레져용품,x시,6000,0,2,0,126.92250883404532,33.47012032802539,성산읍
281777,281778,281778,202006,제주특별자치도,서귀포시,중소2,일반한식,x시,50000,0,1,0,126.9243725736341,33.449849727246935,성산읍
281778,281779,281779,202006,제주특별자치도,서귀포시,일반,일반한식,x시,54500,0,3,0,126.92673413467138,33.43273905951912,성산읍
281779,281780,281780,202006,제주특별자치도,서귀포시,중소1,편의점,x시,61660,0,10,0,126.92673413467138,33.43273905951912,성산읍
281780,281781,281781,202006,제주특별자치도,서귀포시,일반,기념품점,x시,362000,0,13,0,126.9267230530508,33.433640601861605,성산읍
281781,281782,281782,202006,제주특별자치도,서귀포시,일반,일반한식,x시,101600,0,13,0,126.9267230530508,33.433640601861605,성산읍
281782,281783,281783,202006,제주특별자치도,서귀포시,일반,티켓,x시,1051900,0,21,0,126.9267230530508,33.433640601861605,성산읍
281783,281784,281784,202006,제주특별자치도,서귀포시,중소1,제과점,x시,46300,0,4,0,126.9267230530508,33.433640601861605,성산읍
281784,281785,281785,202006,제주특별자치도,서귀포시,중소2,일반한식,x시,42000,0,1,0,126.9267230530508,33.433640601861605,성산읍
281785,281786,281786,202006,제주특별자치도,서귀포시,일반,콘도,x시,553500,0,12,0,126.9273105223073,33.42958830524506,성산읍
281786,281787,281787,202006,제주특별자치도,서귀포시,일반,티켓,x시,36000,0,1,0,126.9273105223073,33.42958830524506,성산읍
281787,281788,281788,202006,제주특별자치도,서귀포시,일반,편의점,x시,54440,0,3,0,126.9273105223073,33.42958830524506,성산읍
281788,281789,281789,202006,제주특별자치도,서귀포시,영세,서양음식,x시,18500,0,1,0,126.92899077901517,33.46792233933774,성산읍
281789,281790,281790,202006,제주특별자치도,서귀포시,영세,서양음식,x시,175000,0,12,0,126.9289852422442,33.468373108616255,성산읍
281790,281791,281791,202006,제주특별자치도,서귀포시,영세,일반한식,x시,15000,0,1,0,126.9289852422442,33.468373108616255,성산읍
281791,281792,281792,202006,제주특별자치도,서귀포시,중소,스넥,x시,694000,0,21,0,126.9289852422442,33.468373108616255,성산읍
281792,281793,281793,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,49000,0,1,0,126.92963927186378,33.458911592037346,성산읍
281793,281794,281794,202006,제주특별자치도,서귀포시,영세,서양음식,x시,106000,0,5,0,126.9296226773271,33.460263901050894,성산읍
281794,281795,281795,202006,제주특별자치도,서귀포시,일반,서양음식,x시,232270,0,13,0,126.9296226773271,33.460263901050894,성산읍
281795,281796,281796,202006,제주특별자치도,서귀포시,영세,슈퍼마켓,x시,112000,0,6,0,126.92951201902103,33.46927928553131,성산읍
281796,281797,281797,202006,제주특별자치도,서귀포시,영세,일반한식,x시,24000,0,1,0,126.92951201902103,33.46927928553131,성산읍
281797,281798,281798,202006,제주특별자치도,서귀포시,중소1,편의점,x시,107170,0,17,0,126.92951201902103,33.46927928553131,성산읍
281798,281799,281799,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,120000,0,2,0,126.92950648475623,33.46973005476239,성산읍
281799,281800,281800,202006,제주특별자치도,서귀포시,영세,일반한식,x시,32000,0,1,0,126.93008305448686,33.466579307943455,성산읍
281800,281801,281801,202006,제주특별자치도,서귀포시,영세,일반한식,x시,77000,0,3,0,126.93004433714653,33.46973469183789,성산읍
281801,281802,281802,202006,제주특별자치도,서귀포시,영세,편의점,x시,146000,0,11,0,126.93070379315421,33.45982239970114,성산읍
281802,281803,281803,202006,제주특별자치도,서귀포시,영세,편의점,x시,42920,0,5,0,126.93062641661277,33.466133172747305,성산읍
281803,281804,281804,202006,제주특별자치도,서귀포시,영세,일반한식,x시,28500,0,1,0,126.93058219070535,33.46973932658513,성산읍
281804,281805,281805,202006,제주특별자치도,서귀포시,영세,일반한식,x시,16000,0,1,0,126.9305766619155,33.47019009588886,성산읍
281805,281806,281806,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,63000,0,3,0,126.9312360616083,33.460277800140915,성산읍
281806,281807,281807,202006,제주특별자치도,서귀포시,영세,중국음식,x시,300000,0,10,0,126.93120844358054,33.46253164831999,성산읍
281807,281808,281808,202006,제주특별자치도,서귀포시,영세,일반한식,x시,43000,0,1,0,126.93176281532436,33.46118396840581,성산읍
281808,281809,281809,202006,제주특별자치도,서귀포시,중소1,슈퍼마켓,x시,432500,0,30,0,126.93175177337217,33.4620855075685,성산읍
281809,281810,281810,202006,제주특별자치도,서귀포시,중소2,편의점,x시,21500,0,2,0,126.93170760078894,33.465691664677564,성산읍
281810,281811,281811,202006,제주특별자치도,서귀포시,중소1,제과점,x시,12000,0,2,0,126.9316302799955,33.47200243488671,성산읍
281811,281812,281812,202006,제주특별자치도,서귀포시,중소2,편의점,x시,18300,0,5,0,126.9316302799955,33.47200243488671,성산읍
281812,281813,281813,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,254000,0,2,0,126.93227302408174,33.463442443515994,성산읍
281813,281814,281814,202006,제주특별자치도,서귀포시,영세,일식회집,x시,326000,0,4,0,126.93283841733579,33.46119321865466,성산읍
281814,281815,281815,202006,제주특별자치도,서귀포시,영세,서양음식,x시,18600,0,1,0,126.93282738651388,33.462094758029004,성산읍
281815,281816,281816,202006,제주특별자치도,서귀포시,일반,일반한식,x시,18000,0,1,0,126.93282738651388,33.462094758029004,성산읍
281816,281817,281817,202006,제주특별자치도,서귀포시,영세,일반한식,x시,117000,0,1,0,126.93282187042391,33.462545528114426,성산읍
281817,281818,281818,202006,제주특별자치도,서귀포시,영세,스넥,x시,385000,0,13,0,126.93281635531797,33.46299629817124,성산읍
