중분류,소분류,상품명,제조업체,지역,업태,업체종류,판매업체,총중량,단위중량, 단위가격 , 판매가격 ,날짜
곡물가공품,견과류,머거본 꿀땅콩(135g),머거본,제주도/서귀포시,전통시장,전통시장,매일올레시장,135g,100g," 2,519 "," 3,400 ",202002
곡물가공품,국수,옛날국수소면,오뚜기,제주도/제주시,전통시장,전통시장,동문시장,900g,100g, 300 ," 2,700 ",202002
곡물가공품,국수,옛날국수소면,오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,900g,100g, 220 ," 1,980 ",202002
곡물가공품,국수,옛날국수소면,오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,900g,100g, 220 ," 1,980 ",202002
곡물가공품,국수,옛날국수소면,오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,900g,100g, 220 ," 1,980 ",202002
곡물가공품,국수,옛날국수소면,오뚜기,제주도/서귀포시,전통시장,전통시장,매일올레시장,900g,100g, 300 ," 2,700 ",202002
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,900g,100g, 220 ," 1,980 ",202002
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,900g,100g, 220 ," 1,980 ",202002
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,900g,100g, 220 ," 1,980 ",202002
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,900g,100g, 289 ," 2,600 ",202002
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/서귀포시,전통시장,전통시장,매일올레시장,900g,100g, 372 ," 3,350 ",202002
곡물가공품,냉동만두,고향만두,해태제과,제주도/서귀포시,전통시장,전통시장,매일올레시장,1140g,100g, 658 ," 7,500 ",202002
곡물가공품,냉동만두,생야채돼지고기물만두(400g*2봉),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,800g,100g, 998 ," 7,980 ",202002
곡물가공품,냉동만두,생야채돼지고기물만두(400g*2봉),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,800g,100g, 998 ," 7,980 ",202002
곡물가공품,당면,CJ 100% 국산 햇당면(400g),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,400g,100g," 1,575 "," 6,300 ",202002
곡물가공품,당면,옛날당면,오뚜기,제주도/제주시,전통시장,전통시장,동문시장,500g,100g," 1,140 "," 5,700 ",202002
